north_america,eat_out_freq,age,n_people,price,food_type,noise_level,good_server,comments,restaurant_name,target
Yes,3.0,29,10.0,120.0,Italian,medium,Yes,Ambience,,dislike
Yes,2.0,23,3.0,20.0,Canadian/American,no music,No,food tastes bad,,dislike
Yes,2.0,21,20.0,15.0,Chinese,medium,Yes,bad food,,dislike
No,2.0,24,14.0,18.0,Other,medium,No,Overall vibe on the restaurant,,dislike
Yes,5.0,23,30.0,20.0,Chinese,medium,Yes,A bad day,,dislike
Yes,2.0,22,40.0,16.0,Chinese,medium,No,food taste,,dislike
Yes,2.0,23,20.0,10.0,Canadian/American,high,No,no,McDonald's,dislike
Yes,4.0,20,3.0,20.0,Indian,low,No,,,dislike
Yes,1.0,21,20.0,35.0,Canadian/American,medium,Yes,Food was terrible quality ,,dislike
No,2.0,20,6.0,90.0,Canadian/American,low,No,I got food poisoning afterwards.,Tony's Fish & Oyster Cafe,dislike
No,3.0,23,10.0,20.0,Chinese,medium,No,,,dislike
Yes,2.0,21,30.0,30.0,Chinese,medium,Yes,food that didn't come,Happy Lamb,dislike
No,5.0,20,20.0,40.0,Indian,medium,No,Slow service took forever ,,dislike
Yes,1.0,29,20.0,30.0,Canadian/American,low,Yes,Could not accommodate my allergies. ,,dislike
Yes,2.0,23,20.0,45.0,Italian,crazy loud,No,"Lack of sleep, poor company",,dislike
Yes,2.0,19,50.0,13.0,Mexican,medium,Yes,,,dislike
No,0.5,21,8.0,20.0,Other,low,Yes,,,dislike
Yes,3.0,24,10.0,10.0,Other,medium,No,"Missing items, lower quality than usual",Nori,dislike
Yes,2.0,22,40.0,60.0,Other,crazy loud,No,Expensive,Shabusen Yakiniku House,dislike
Yes,1.0,20,20.0,20.0,Chinese,medium,Yes,i dont like chinese food,,dislike
Yes,2.0,25,20.0,35.0,Chinese,medium,No,,,dislike
Yes,1.0,21,50.0,20.0,Chinese,low,No,,,dislike
Yes,2.0,19,20.0,20.0,Indian,medium,No,How empty the restaurant was,,dislike
Yes,0.0,21,20.0,15.0,Chinese,low,No,,,dislike
No,2.0,24,2.0,15.0,Chinese,low,Yes,taste of the food,,dislike
Yes,2.0,21,20.0,15.0,Other,medium,Yes,The amount of food was not enough for the price ,Pho Japolo ,dislike
Yes,3.0,20,10.0,10.0,Fusion,crazy loud,No,"bad food, bad service, bad everything",,dislike
No,3.0,22,10.0,22.0,Chinese,medium,No,,,dislike
No,2.0,29,50.0,30.0,Canadian/American,low,No,Didn't get my happy hour discount.,White Spot,dislike
Yes,5.0,20,10.0,30.0,Other,no music,Yes,Everything we ordered tasted bad some things seemed like it was heated up frozen food,Ongi,dislike
No,2.0,22,30.0,10.0,Canadian/American,crazy loud,No,Server was rude,Schwartz's Deli,dislike
No,7.0,22,6.0,40.0,Chinese,low,No,Food tasted bad,,dislike
Yes,1.0,19,8.0,20.0,Canadian/American,low,No,"Dirty kitchen, milkshakes tasted like soap, steak undercooked",Rocko's Diner,dislike
Yes,2.0,22,50.0,30.0,Chinese,high,No,Servers asked for more tip,,dislike
No,7.0,20,0.0,17.0,Fusion,medium,Yes,"Bad Vibes, bad taste of food",The Eatery,dislike
Yes,1.0,20,10.0,17.0,Canadian/American,low,Yes,Saw mice walking around,Boston Pizza,dislike
Yes,3.0,22,30.0,25.0,Chinese,medium,No,Waitress was extremely rude and smashed the menu in front of us,Neptune Wonton Noodle,dislike
Yes,2.0,22,15.0,15.0,Fusion,low,No,"Really slow service, basically ignored by our waiter. Seemed like the staff was stoned. ",Naam,dislike
No,5.0,20,30.0,23.0,Other,medium,No,The table we were placed at was not quite nice either,Kokoro Ramen,dislike
No,4.0,22,15.0,2.0,Chinese,no music,No,,Chef Hung Taiwanese Beef Noodle,dislike
Yes,1.0,23,8.0,25.0,Chinese,medium,Yes,The food made my sister sick.,,dislike
Yes,2.0,22,0.0,0.0,Other,no music,No,don't remember ,don't remember ,dislike
No,5.0,20,50.0,15.0,Other,medium,No,"The chicken was horrible, and the service was not great either.","As mentioned before, Running Chicken ",dislike
Don't want to share,4.0,20,12.0,13.0,Other,low,No,Food is bad,,dislike
Yes,4.0,22,5.0,15.0,Canadian/American,low,No,Bad ambiance and food,,dislike
Yes,4.0,23,40.0,20.0,Other,medium,Yes,,,dislike
Yes,1.0,20,0.0,15.0,Other,medium,Yes,Bad food and wait time,,dislike
No,1.0,24,15.0,18.0,Other,low,Yes,Just the dishes,,dislike
No,3.0,21,15.0,26.0,Other,medium,No,They gave us Rice+Ketchup+popcorn chicken and called it 'fried chicken bibimbap' -- THAT IS NOT BIBIMBAP!,Running Chicken,dislike
Yes,1.0,22,6.0,22.0,Canadian/American,no music,No,Food did not taste that great,the roost,dislike
No,2.0,22,15.0,30.0,Fusion,low,No,no,Green leaf,dislike
No,1.0,22,50.0,50.0,Italian,medium,No,Food not that good for the prize,Italian Kitchen,dislike
Yes,1.0,22,30.0,15.0,Other,medium,Yes,Mood of the restaurant,Guu Gastown,dislike
Yes,1.0,29,50.0,20.0,Canadian/American,crazy loud,Yes,It also had poor lighting. ,Can't remember,dislike
Yes,4.0,28,60.0,30.0,Fusion,medium,No,poor service,Glowbal,dislike
No,2.0,23,5.0,18.0,Chinese,low,No,Their foods tasted awful.,,dislike
No,2.0,26,40.0,20.0,Canadian/American,high,No,The food was cold,,dislike
No,1.0,10,50.0,20.0,Fusion,crazy loud,No,food tasted bad,,dislike
No,1.0,22,20.0,25.0,Italian,medium,Yes,Quality of food and presentation was subpar,,dislike
Yes,4.0,23,30.0,20.0,Canadian/American,medium,Yes,Bad chicken wings,Taphouse,dislike
Yes,1.0,23,15.0,18.0,Indian,medium,Yes,The food was boring and repetitive,East is east,dislike
Yes,2.0,27,10.0,13.0,Other,no music,No,Poker Face waiter. ,Cazba,dislike
Yes,2.0,24,20.0,30.0,Indian,high,Yes,bad taste,east is east,dislike
Yes,0.5,23,10.0,20.0,Chinese,low,No,Newspaper cooked into the food,,dislike
Yes,2.0,31,7.0,60.0,Chinese,medium,No,Food wasn't fresh/good,New Town Bakery & Restaurant,dislike
Yes,5.0,24,3.0,25.0,Canadian/American,low,No,"very slow, extremely poor service",coppertank,dislike
Yes,4.0,21,50.0,30.0,Canadian/American,high,No,waited over an hour for food and was almost late for class,,dislike
Yes,2.5,27,75.0,25.0,Mexican,low,Yes,"They had sold out of several items and my order kept getting modified. In addition, slow service overall. ",Don't recall,dislike
Yes,0.5,24,15.0,25.0,Indian,medium,Yes,"Bad food, no cutlery in our take out ",Naam,dislike
Yes,3.0,22,30.0,20.0,Other,medium,Yes,Food wasn't memorable; not as good as other ramen I've had before,,dislike
Yes,2.0,32,40.0,3.0,Canadian/American,high,Yes,Restaurant was dirty,Bon's Off Broadway,dislike
Yes,2.0,21,20.0,20.0,Canadian/American,medium,No,The food was too expensive. Served cold. Long wait time to get in ,Sunshine Diner,dislike
Yes,0.0,25,5.0,15.0,Other,low,Yes,"Went into the restaurant expecting authentic Japanese food, but was served something rather different",Ramen Koika,dislike
No,3.0,23,5.0,25.0,Chinese,low,Yes,The food is not warm enough,Kirin at downtown,dislike
No,0.0,22,0.0,0.0,Other,no music,,dont have worst cause i never eat out,dont have worst cause i never eat out,dislike
Yes,2.0,22,-2.0,30.0,Canadian/American,low,Yes,,,dislike
Yes,5.0,22,1.0,15.0,Canadian/American,low,Yes,,,dislike
Yes,5.0,22,4.0,20.0,Canadian/American,low,Yes,,,dislike
Yes,3.0,22,0.0,15.0,Chinese,no music,No,,,dislike
Yes,2.0,20,10.0,20.0,Chinese,no music,Yes,,,dislike
No,2.0,21,30.0,22.0,Chinese,high,No,The environment was very not clean. The food tasted awful.,,dislike
No,6.0,26,20.0,30.0,Fusion,low,No,,,dislike
No,2.0,23,10.0,20.0,Chinese,medium,Yes,,,dislike
No,3.0,22,,,,,,,,dislike
Yes,6.0,23,,,,,,,,dislike
Yes,1.0,20,,,,,,,,dislike
Yes,3.0,22,,,,,,,,dislike
Yes,3.0,26,,,,,,,,dislike
Yes,1.0,27,4.0,25.0,Other,low,Yes,,,dislike
Yes,3.0,22,0.0,20.0,Canadian/American,high,No,,mcomndalds ,dislike
Yes,1.0,21,,,,,,,,dislike
Yes,2.0,27,,,,,,,,dislike
Yes,1.0,18,,,,,,,,dislike
No,3.0,21,,,,,,,,dislike
Yes,0.5,29,30.0,15.0,Chinese,high,Yes,Restaurant theme (Decoration),Memory Corner,dislike
No,2.0,29,50.0,17.0,Other,no music,Yes,"It was just a personal thing, everyone was yelling",Gyu-Kaku,dislike
No,1.0,26,40.0,30.0,Chinese,high,Yes,Mostly the food flavour.,"Hotpot something, Kitsalano",dislike
Yes,2.0,26,25.0,35.0,Italian,high,No,"seated at a very crowded area, didn't take our orders until 20 min later",,dislike
No,7.0,24,3.0,14.0,Mexican,medium,No,,,dislike
Yes,0.5,25,10.0,20.0,Chinese,low,Yes,,,dislike
Yes,3.0,39,18.0,15.0,Indian,medium,No,,,dislike
No,3.0,24,50.0,20.0,Other,low,No,,,dislike
Yes,1.0,28,8.0,20.0,Chinese,low,No,"Paper plates, covid times, apathetic staff",Peaceful,dislike
No,4.0,31,7.0,15.0,Chinese,medium,Yes,,,dislike
No,1.0,28,0.0,20.0,Other,no music,Yes,The food was bad,,dislike
No,2.0,37,5.0,10.0,Canadian/American,low,No,,,dislike
No,3.0,27,10.0,15.0,Chinese,medium,Yes,Food wasn't great. ,,dislike
Yes,1.0,32,0.0,35.0,Italian,high,No,staff,,dislike
No,1.5,24,0.0,40.0,Other,medium,Yes,,Yah-Yah-Ya Ramen,dislike
No,2.0,28,10.0,15.0,Chinese,high,No,,can't remember,dislike
No,1.0,35,2.0,35.0,Indian,medium,Yes,ambience was gloomy,,dislike
Yes,1.0,26,10.0,25.0,Italian,low,Yes,,tratoria,dislike
Yes,3.0,26,20.0,30.0,Fusion,medium,No,,,dislike
Yes,5.0,27,20.0,25.0,Other,low,No,The dishes are not tasty. ,Samurai Japanese Restaurant,dislike
Yes,5.0,31,2.0,20.0,Canadian/American,low,No,,,dislike
Yes,4.0,23,30.0,15.0,Other,crazy loud,No,,,dislike
No,1.0,38,10.0,30.0,Fusion,low,No,Food quality did not seem too good,,dislike
No,2.0,34,20.0,20.0,Indian,high,No,,,dislike
No,2.0,22,20.0,40.0,Chinese,medium,Yes,Too expensive,,dislike
No,2.0,23,9.0,12.0,Other,no music,No,,,dislike
No,1.0,38,10.0,13.0,Chinese,medium,Yes,No,Sesame,dislike
No,2.0,27,30.0,20.0,Mexican,medium,No,,,dislike
No,1.0,36,7.0,99.0,Other,low,Yes,,,dislike
Yes,1.0,28,30.0,10.0,Canadian/American,crazy loud,Yes,Way too expensive,Earls,dislike
No,0.5,27,30.0,15.0,Chinese,medium,Yes,The food taste.,,dislike
No,2.0,46,30.0,70.0,Chinese,medium,Yes,asking for tips,,dislike
No,10.0,45,20.0,3.0,Canadian/American,low,No,There were a lot of people waiting at the food pick-up counter.,McDonald's,dislike
No,1.0,23,25.0,15.0,Indian,medium,No,Food quality,Dosaka,dislike
No,1.0,22,3.0,80.0,Thai,medium,No,,,dislike
No,2.0,31,25.0,20.0,Fusion,high,Yes,,,dislike
No,1.0,27,20.0,17.0,Indian,medium,Yes,,,dislike
No,1.0,34,20.0,20.0,Canadian/American,high,Yes,Burgers are getting smaller everyday it seems!,Mcdonalds,dislike
No,3.0,38,10.0,15.0,Canadian/American,medium,No,,,dislike
No,2.0,24,50.0,100.0,Fusion,crazy loud,No,,,dislike
No,2.0,46,15.0,20.0,Other,medium,Yes,The food itself,,dislike
No,1.0,24,10.0,13.69,Indian,high,No,The taste of the food ,Bombay Masala,dislike
Yes,2.0,28,5.0,20.0,Chinese,no music,No,,,dislike
Yes,2.0,26,3.0,15.0,Canadian/American,high,No,Wait time for getting fast food,,dislike
No,2.0,30,10.0,15.0,Indian,low,Yes,,,dislike
No,2.0,28,4.0,11.0,Chinese,no music,Yes,,Camay Wok,dislike
No,0.0,24,10.0,10.0,Italian,low,Yes,,,dislike
No,12.0,23,3.0,13.0,Canadian/American,no music,Yes,,,dislike
Yes,5.0,26,3.0,12.0,Other,medium,Yes,,,dislike
No,4.0,24,6.0,20.0,Chinese,low,No,"The food is not fresh.
The server never see me.",Yun Shang,dislike
Yes,3.0,30,30.0,50.0,Chinese,medium,No,"taste of the food, waiting time for food",,dislike
No,4.0,29,2.0,60.0,Indian,low,Yes,,,dislike
No,2.0,34,20.0,20.0,Canadian/American,medium,Yes,,,dislike
No,2.0,25,20.0,30.0,Canadian/American,medium,Yes,,,dislike
Yes,5.0,35,15.0,40.0,Chinese,medium,Yes,,,dislike
No,1.0,28,50.0,35.0,Chinese,high,Yes,People eat together,No,dislike
Yes,0.0,29,4.0,15.0,Chinese,low,No,Terrible food,,dislike
Yes,1.0,25,30.0,15.0,Other,medium,Yes,,,dislike
No,2.0,26,3.0,30.0,Chinese,low,Yes,taste,hong,dislike
No,1.0,24,3.0,6.0,Other,medium,Yes,The tip,I do not remember ,dislike
No,10.0,27,,,,,,,,dislike
No,5.0,22,,,,,,,,dislike
No,0.01,27,,,,,,,,dislike
Yes,1.0,24,20.0,20.0,Indian,high,,,,dislike
No,1.0,21,,,,,,,,dislike
No,4.0,29,8.0,20.0,Fusion,high,,,,dislike
No,2.0,22,,,,,,,,dislike
No,0.0,27,,,,,,,,dislike
Yes,1.0,28,,,,,,,,dislike
No,1.0,23,,,,,,,,dislike
No,5.0,22,,,,,,,,dislike
No,0.0,25,,,,,,,,dislike
No,2.0,24,6.0,10.0,Indian,medium,Yes,no,bombay masala,dislike
No,4.0,34,,,,,,,,dislike
No,0.0,25,,,,,,,,dislike
Yes,0.0,22,,,,,,,,dislike
No,4.0,25,10.0,30.0,Indian,medium,No,-,Bombay Masala,dislike
No,5.0,28,,,,,,,,dislike
No,2.0,25,,,,,,,,dislike
Don't want to share,1.0,25,20.0,25.0,Thai,no music,No,,,dislike
Yes,1.0,24,1.0,7.0,Canadian/American,no music,No,I ordered and paid my food but even though I was the only person there the cashier forgot I ordered already so I was just standing around waiting until they asked me again if I ordered like 10 minutes later,,dislike
No,7.0,23,,,,,,,,dislike
Yes,4.0,24,,,,,,,,dislike
No,2.0,35,20.0,100.0,Chinese,high,No,,,dislike
Yes,3.0,21,9.0,13.0,Canadian/American,no music,Yes,,,dislike
Yes,1.0,22,50.0,30.0,Other,medium,No,Wait time,Shabusen,dislike
Yes,3.0,20,4.0,30.0,Chinese,low,Yes,Bad flavour,N/a,dislike
Yes,0.2,21,60.0,26.0,Fusion,crazy loud,Yes,"Too ""extra,"" not good enough for the price I think.",The Eatery,dislike
No,1.0,30,3.0,20.0,Italian,medium,Yes,Wrong order with bad customer experience,,dislike
Yes,2.0,28,,,,,,,,dislike
Yes,2.0,22,,,,,,,,dislike
Yes,1.0,22,12.0,11.0,Canadian/American,medium,No,,,dislike
No,2.0,20,30.0,30.0,Other,low,No,"Slow service, unappealing look of the food, waitress seemed like she didn't want to be there, people I don't like were also eating there",MeeT in Gastown,dislike
Yes,4.0,26,16.0,25.0,Canadian/American,medium,Yes,"small portion, undercooked, gross, bad taste",lefty's,dislike
Yes,2.0,24,30.0,10.0,Canadian/American,medium,No,I was drunk,McDonalds,dislike
Yes,1.0,32,25.0,40.0,Canadian/American,medium,No,"Multiple out of stock menu items, server was unaware of what was out of stock so had to come back and tell us we had to change our order. Server dropped our meals on the floor.",,dislike
Yes,2.0,20,1.0,14.0,Other,no music,No,food was bad,dont remember,dislike
Yes,3.0,19,25.0,20.0,Other,high,Yes,no,Mr Bro,dislike
No,2.0,21,100.0,30.0,Canadian/American,crazy loud,No,Seating was super packed and uncomfortable,,dislike
No,1.0,21,30.0,30.0,Canadian/American,high,No,Small space,No,dislike
Yes,2.0,19,5.0,50.0,Mexican,medium,No,,,dislike
Yes,3.0,20,10.0,10.0,Canadian/American,low,Yes,,,dislike
Yes,0.0,22,30.0,20.0,Other,crazy loud,No,,,dislike
Yes,0.25,22,0.0,12.0,Other,low,No,They forgot about my order so I was just left sitting at my table for 20 or so minutes >:(,la maison,dislike
No,3.0,25,20.0,20.0,Italian,low,No,,,dislike
Yes,2.0,21,50.0,50.0,Italian,high,Yes,noise,,dislike
Yes,5.0,19,40.0,70.0,Chinese,high,Yes,,,dislike
Yes,1.0,30,100.0,20.0,Other,high,No,,,dislike
No,5.0,22,15.0,13.0,Chinese,no music,No,No just the server,Dragon Fort,dislike
Yes,3.0,25,40.0,30.0,Canadian/American,high,No,no,,dislike
Yes,5.0,20,20.0,20.0,Thai,low,Yes,The food felt uncooked the noodles were very dry on top or very wet on the bottom ,,dislike
Yes,2.0,21,5.0,6.0,Other,low,Yes,serving efficiency,can't remember,dislike
Yes,2.0,22,,,,,,,,dislike
Yes,5.0,20,,,,,,,,dislike
Yes,4.0,19,,,,,,,,dislike
Yes,0.5,25,,,,,,,,dislike
No,0.3,23,,,,,,,,dislike
Yes,3.0,21,30.0,18.0,Other,medium,Yes,Previous experiences eating good ramen outside of vancouver,Jinya Ramen,dislike
No,0.0,20,,,,,,,,dislike
No,2.0,19,,,,,,,,dislike
Yes,1.0,25,,,,,,,,dislike
Yes,2.5,21,,,,,,,,dislike
Yes,0.0,21,,,,,,,,dislike
Yes,2.0,20,15.0,10.0,Fusion,crazy loud,No,,,dislike
Yes,1.0,21,,,,,,,,dislike
No,2.0,24,,,,,,,,dislike
No,7.0,23,,,,,,,,dislike
Yes,5.0,22,12.0,30.0,Other,crazy loud,Yes,The decor,,dislike
Yes,1.0,22,6.0,20.0,Italian,low,No,Food didn't include ingredients mentioned on the menu.,La Notte,dislike
Yes,4.0,22,15.0,25.0,Canadian/American,low,No,"Hair in food, wrong orders, server was not an employee.
Ordered ""deluxe pancakes"", got undressed pancakes and eggs I did not ask for.
The eggs had hair in them.
I told the server to replace the eggs, and they just removed the hair.
When we tipped, the server said ""Don't tip, I don't actually work here, I am just helping a friend""",Ricky's Diner,dislike
No,3.0,21,40.0,18.0,Canadian/American,medium,No,"The staff was racist, food did not have any spices or even salt",Naam Restaurent,dislike
Yes,2.0,19,5.0,12.0,Other,medium,Yes,,,dislike
Yes,2.0,29,50.0,50.0,Canadian/American,medium,No,,,dislike
Yes,2.0,22,5.0,30.0,Italian,low,Yes,empty restaurant except they sat us by the only other table there,,dislike
Yes,1.0,21,30.0,20.0,Fusion,high,No,Tipping was way too high,,dislike
Yes,3.0,20,40.0,20.0,Canadian/American,medium,Yes,,,dislike
Yes,1.0,38,3.0,15.0,Chinese,crazy loud,No,,,dislike
Yes,3.0,22,10.0,15.0,Canadian/American,medium,Yes,Soggy food,White Spot,dislike
Yes,2.0,22,8.0,40.0,Other,medium,No,Delay,,dislike
Yes,2.5,20,50.0,30.0,Canadian/American,high,No,"Got the wrong food we ordered, overpriced and couldn't eat the food",,dislike
No,1.0,20,15.0,15.0,Other,high,Yes,Outdoor seat on a cold day,,dislike
Yes,2.0,22,12.0,20.0,Canadian/American,low,Yes,the company I was with,Dockside,dislike
Yes,1.0,23,25.0,24.0,Canadian/American,medium,Yes,,Steam Works,dislike
Yes,4.0,21,8.0,22.0,Indian,low,Yes,food quality bad,,dislike
Yes,1.0,28,50.0,30.0,Canadian/American,high,Yes,Terrible taste of the food,Meet,dislike
No,3.0,23,20.0,25.0,Chinese,medium,Yes,The food quality is not that good and i had higher expectation.,sip bowl,dislike
No,2.0,24,15.0,20.0,Italian,low,No,,,dislike
Yes,3.0,28,10.0,14.0,Other,no music,Yes,I got food poisoning,,dislike
Yes,3.0,21,25.0,34.0,Canadian/American,medium,Yes,Overpriced,,dislike
Yes,5.0,22,10.0,15.0,Fusion,medium,Yes,,,dislike
No,0.5,21,50.0,20.0,Chinese,medium,No,,,dislike
Yes,0.0,20,30.0,30.0,Canadian/American,medium,Yes,The food just sucks for the price,The Keg,dislike
Yes,6.0,20,1.0,20.0,Thai,medium,No,"Despite no one being in the restaurant, it took 30+ minutes for our food to arrive which is frustrating and disappointing.",,dislike
Yes,1.0,19,50.0,16.0,Canadian/American,medium,No,"Terrible service, cold food, expensive",Earls,dislike
No,15.0,23,20.0,50.0,Chinese,medium,No,Forcing tips when the service is actually shitty.,Neptune Chinese Kitchen,dislike
No,7.0,24,5.0,15.0,Other,low,No,,kintaro ramen,dislike
No,3.0,21,20.0,50.0,Chinese,high,Yes,No,HaiDiLao,dislike
No,2.0,21,20.0,40.0,Canadian/American,medium,Yes,terrible taste,,dislike
Yes,2.0,22,30.0,20.0,Canadian/American,medium,No,Menu that didn't fit my dietary needs,Heirloom,dislike
Yes,2.0,21,50.0,40.0,Other,medium,Yes,"It took a long time to get the food, to order, and some of the food wasn't available.",,dislike
Yes,10.0,23,1.0,10.0,Canadian/American,no music,No,"Bad taste of food, bad pizza not good compared to China ",Pizza hut ,dislike
No,2.0,22,10.0,110.0,Fusion,no music,No,Food is unfresh,sura,dislike
Yes,1.0,20,50.0,25.0,Canadian/American,low,Yes,the person I was eating with,White Spot,dislike
No,2.0,20,10.0,35.0,Other,no music,Yes,The portions were tiny,Nuba,dislike
Yes,1.0,21,30.0,25.0,Canadian/American,high,No,,,dislike
No,10.0,22,5.0,20.0,Other,high,No,taste,can't remember,dislike
No,7.0,21,20.0,80.0,Chinese,medium,Yes,no,Liuyishou Hotpot,dislike
Yes,1.0,20,20.0,40.0,Canadian/American,low,Yes,,Forage,dislike
Yes,4.0,24,50.0,15.0,Other,low,No,Worst ramen in Vancouver.,Jinya Ramen,dislike
No,1.0,21,20.0,70.0,Other,high,No,"taste, quality of food",Don't remember,dislike
No,1.0,22,2.0,15.0,Chinese,low,Yes,Restaurant was empty besides my party and was quiet. Food was bland.,,dislike
Yes,4.0,23,40.0,30.0,Chinese,high,No,The fact they took almost 1 hour to bring the food out. Was super rude and demanded tips (explicitly),Not sure anyone,dislike
Yes,1.0,27,30.0,20.0,Other,low,Yes,Vegan food didn't taste that good,Kind Cafe (vegan),dislike
Yes,5.0,22,15.0,17.0,Thai,medium,Yes,Food itself just wasn't tasty,Thai Basil,dislike
No,3.0,25,50.0,20.0,Other,crazy loud,Yes,,,dislike
Yes,3.0,22,25.0,40.0,Fusion,high,Yes,The food wasn't very good and they were strict about not sharing food,East is East,dislike
Yes,1.0,22,50.0,40.0,Canadian/American,medium,Yes,,,dislike
No,3.0,22,50.0,30.0,Thai,medium,No,I had an allergic reaction after eating the food.,Cactus Club Cafe,dislike
Yes,1.0,20,4.0,20.0,Canadian/American,no music,Yes,Food wasn't good,Nandos,dislike
Yes,3.0,28,30.0,120.0,Fusion,medium,No,the taste of the food,Maenam,dislike
No,2.0,29,70.0,30.0,Fusion,medium,Yes,The food was tasteless!,Joey Burrard,dislike
Yes,1.0,34,50.0,20.0,Thai,low,No,,,dislike
No,1.0,20,10.0,100.0,Chinese,medium,Yes,,,dislike
No,6.0,24,20.0,13.0,Chinese,medium,Yes,Food was bad,Grand Noodle Emporium,dislike
No,3.0,22,2.0,20.0,Other,no music,No,Cleanliness of restaurant,,dislike
No,1.0,20,20.0,30.0,Canadian/American,low,Yes,,Cactus,dislike
Yes,3.0,22,25.0,35.0,Canadian/American,medium,No,,Elwoods,dislike
No,2.0,21,,,,,,,,dislike
No,1.0,22,,,,,,,,dislike
No,1.0,25,,,,,,,,dislike
No,5.0,22,,,,,,,,dislike
Yes,0.0,21,,,,,,,,dislike
No,5.0,23,,,,,,,,dislike
Yes,4.0,25,25.0,30.0,Canadian/American,high,No,Live music was playing,Wolf and Hound,dislike
Yes,1.0,20,,,,,,,,dislike
No,7.0,24,,,,,,,,dislike
No,5.0,24,,,,,,,,dislike
Don't want to share,3.0,20,,,,,,,,dislike
No,4.0,21,2.0,15.0,Chinese,low,No,Not tasty,,dislike
No,0.5,23,,,,,,,,dislike
No,0.0,22,,,,,,,,dislike
No,3.0,22,,,,,,,,dislike
No,0.0,29,,,,,,,,dislike
Yes,5.0,20,,,,,,,,dislike
No,1.0,23,,,,,,,,dislike
No,4.0,29,,,,,,,,dislike
Yes,3.0,27,,,,,,,,dislike
No,8.0,21,,,,,,,,dislike
Yes,1.0,24,,,,,,,,dislike
Yes,1.0,33,30.0,30.0,Other,medium,No,Rude staff.,,dislike
