north_america,eat_out_freq,age,n_people,price,food_type,noise_level,good_server,comments,restaurant_name,target
Yes,4.0,23,30.0,15.0,Thai,medium,Yes,,,like
No,1.0,38,25.0,40.0,fusion,low,Yes,,,like
No,2.0,34,30.0,25.0,Italian,medium,Yes,quality of food,Una Pizza,like
No,2.0,22,20.0,30.0,Other,low,Yes,,Masa sushi,like
No,2.0,23,30.0,15.0,Thai,low,Yes,,,like
No,1.0,38,5.0,15.0,Mexican,medium,Yes,With friends,,like
No,2.0,27,30.0,20.0,Italian,medium,Yes,,,like
No,1.0,36,10.0,25.0,Canadian/American,medium,Yes,Lively environment,Down Low Chicken,like
Yes,1.0,28,20.0,36.0,Canadian/American,medium,Yes,,Meet,like
No,0.5,27,20.0,60.0,Chinese,medium,Yes,Food taste,,like
No,2.0,46,30.0,150.0,Chinese,low,Yes,good food,,like
No,10.0,45,30.0,120.0,Canadian/American,medium,Yes,The variety of seafood.,Fanny Bay Oyster Bar & Shellfish Market,like
No,1.0,23,30.0,10.0,Other,medium,Yes,Food Taste and Quality,,like
No,1.0,22,3.0,60.0,Chinese,medium,Yes,,,like
No,2.0,31,10.0,10.0,Other,low,Yes,,,like
No,1.0,27,10.0,8.0,Other,medium,Yes,food was good,Mr Shawarma,like
No,1.0,34,6.0,40.0,Other,low,Yes,Good Food and Kebabs,Gilaneh Persian Grill,like
No,3.0,38,20.0,15.0,Chinese,no music,Yes,,,like
No,2.0,24,10.0,50.0,Other,low,Yes,,Sumi,like
No,2.0,46,30.0,30.0,Chinese,medium,Yes,,,like
No,1.0,24,15.0,10.0,Italian,low,Yes,No,Tim Hortons,like
Yes,2.0,28,10.0,100.0,Other,low,Yes,,,like
Yes,2.0,26,30.0,80.0,Canadian/American,medium,Yes,,Le Crocodile,like
No,2.0,30,10.0,15.0,Indian,no music,Yes,,,like
No,2.0,28,20.0,14.0,Chinese,low,Yes,,Wang's Taiwan Beef Noodle House,like
No,0.0,24,10.0,8.0,Chinese,low,Yes,,,like
No,12.0,23,8.0,35.0,Indian,low,Yes,,,like
Yes,5.0,26,30.0,18.0,Canadian/American,high,Yes,Board games,Storm Crow Alehouse,like
No,4.0,24,20.0,25.0,Other,medium,Yes,,,like
Yes,3.0,30,40.0,25.0,Other,medium,Yes,"restaurant decoration and environment, taste of food",SAKU,like
No,4.0,29,2.0,60.0,Indian,low,Yes,,,like
No,2.0,34,20.0,40.0,Indian,medium,Yes,,,like
No,2.0,25,10.0,20.0,Canadian/American,low,Yes,,,like
Yes,5.0,35,30.0,50.0,Other,medium,Yes,,,like
No,1.0,28,50.0,35.0,Chinese,high,Yes,People eat together,No,like
Yes,0.0,29,10.0,15.0,Other,low,Yes,,,like
Yes,1.0,25,30.0,30.0,Other,low,Yes,,,like
No,2.0,26,50.0,50.0,Chinese,medium,Yes,taste,haidilao,like
No,1.0,24,12.0,25.0,Other,medium,Yes,No,I do not remember,like
No,10.0,27,,,,,,,,like
No,5.0,22,,,,,,,,like
No,0.01,27,,,,,,,,like
Yes,1.0,24,,,,,,,,like
No,1.0,21,,,,,,,,like
No,4.0,29,,,,,,,,like
No,2.0,22,,,,,,,,like
No,0.0,27,,,,,,,,like
Yes,1.0,28,,,,,,,,like
No,1.0,23,,,,,,,,like
No,5.0,22,,,,,,,,like
No,0.0,25,,,,,,,,like
No,2.0,24,,,,,,,,like
No,4.0,34,,,,,,,,like
No,0.0,25,,,,,,,,like
Yes,0.0,22,,,,,,,,like
No,4.0,25,,,,,,,,like
No,5.0,28,,,,,,,,like
No,2.0,25,,,,,,,,like
Don't want to share,1.0,25,,,,,,,,like
Yes,1.0,24,,,,,,,,like
No,7.0,23,,,,,,,,like
Yes,4.0,24,,,,,,,,like
No,2.0,35,30.0,50.0,Italian,low,Yes,,,like
Yes,3.0,21,40.0,30.0,Other,medium,Yes,,gyu kaku,like
Yes,1.0,22,10.0,200.0,Other,low,Yes,It was paid for ;),Tojo's,like
Yes,3.0,20,30.0,35.0,Other,medium,Yes,Very good food.,N/a,like
Yes,0.2,21,50.0,26.0,Other,low,Yes,All you can eat is always great,Not sure,like
No,1.0,30,50.0,100.0,Italian,high,Yes,,Solvio Volpe,like
Yes,2.0,28,,,,,,,,like
Yes,2.0,22,,,,,,,,like
Yes,1.0,22,12.0,23.0,Mexican,medium,Yes,,,like
No,2.0,20,20.0,300.0,fusion,low,Yes,Bee pollen milk buns are the greatest thing ever,Published on Main,like
Yes,4.0,26,30.0,50.0,Chinese,high,Yes,"With group of friends, tasty, fancy, exotic",Gyukaku,like
Yes,2.0,24,15.0,15.0,Other,low,Yes,Was with friends,Marulilu Cafe,like
Yes,1.0,32,50.0,100.0,Canadian/American,low,Yes,"Excellent, knowledgeable service; fantastic atmosphere; tableside service.",Hy's Steakhouse,like
Yes,2.0,20,25.0,22.0,Canadian/American,medium,Yes,,Cactus club,like
Yes,3.0,19,40.0,25.0,Other,medium,Yes,no,Sura,like
No,2.0,21,20.0,25.0,Canadian/American,medium,Yes,"Food was great, heaters and seatinng was very comfortable",,like
No,1.0,21,10.0,40.0,Italian,low,Yes,"Great display of food, calm environment, thoughtful decoration, large space",No,like
Yes,2.0,19,30.0,100.0,Canadian/American,medium,,,,like
Yes,3.0,20,30.0,20.0,Mexican,low,Yes,,,like
Yes,0.0,22,60.0,25.0,Indian,low,Yes,,,like
Yes,0.25,22,40.0,12.0,Other,high,Yes,,,like
No,3.0,25,20.0,15.0,Other,low,Yes,,,like
Yes,2.0,21,150.0,90.0,Canadian/American,medium,Yes,view,sandbar,like
Yes,5.0,19,2.0,20.0,Chinese,low,Yes,I was with my boyfriend,,like
Yes,1.0,30,100.0,30.0,Indian,medium,Yes,,,like
No,5.0,22,3.0,12.0,Other,no music,Yes,Tonkatsu number one,Nori,like
Yes,3.0,25,15.0,10.0,Other,low,Yes,,,like
Yes,5.0,20,,,,,,,,like
Yes,2.0,21,,,,,,,,like
Yes,2.0,22,,,,,,,,like
Yes,5.0,20,,,,,,,,like
Yes,4.0,19,,,,,,,,like
Yes,0.5,25,,,,,,,,like
No,0.3,23,,,,,,,,like
Yes,3.0,21,,,,,,,,like
No,0.0,20,,,,,,,,like
No,2.0,19,,,,,,,,like
Yes,1.0,25,,,,,,,,like
Yes,2.5,21,,,,,,,,like
Yes,0.0,21,,,,,,,,like
Yes,2.0,20,,,,,,,,like
Yes,1.0,21,,,,,,,,like
No,2.0,24,,,,,,,,like
No,7.0,23,,,,,,,,like
Yes,5.0,22,15.0,50.0,Other,low,Yes,Decor,Sushi Hachi,like
Yes,1.0,22,30.0,20.0,Other,medium,Yes,Great value (lots of food for a good price),Koi Sushi,like
Yes,4.0,22,30.0,40.0,fusion,high,Yes,"The best tasting food ever. Super interactive, get to cook own kobe beef on a hot rock.
House-made ginger ale.
Good alcohol
",Kingyo,like
No,3.0,21,20.0,5.0,Other,no music,No,"Tasty food, lot of Vegan options",Sun Sushi,like
Yes,2.0,19,20.0,40.0,Indian,low,Yes,,,like
Yes,2.0,29,80.0,30.0,Canadian/American,low,Yes,,Bin 4,like
Yes,2.0,22,200.0,300.0,fusion,high,Yes,,ancora waterfront dining and patio,like
Yes,1.0,21,10.0,15.0,Other,low,Yes,Great fresh food,,like
Yes,3.0,20,50.0,30.0,Indian,high,No,,,like
Yes,1.0,38,20.0,20.0,Other,medium,Yes,Taste,Chui Hong,like
Yes,3.0,22,10.0,25.0,Italian,low,Yes,Great food,Casareccio Foods,like
Yes,2.0,22,40.0,130.0,Canadian/American,no music,Yes,Good seafood,Pier 7,like
Yes,2.5,20,100.0,40.0,Canadian/American,medium,Yes,Cooked steak perfect amount,Cactus Club,like
No,1.0,20,100.0,70.0,Chinese,medium,Yes,I was with family and friends,,like
Yes,2.0,22,30.0,15.0,Other,medium,Yes,"ambience, people I was with",don't remember,like
Yes,1.0,23,10.0,50.0,fusion,low,Yes,,Acorn,like
Yes,4.0,21,0.0,15.0,Other,medium,Yes,,Steve's Poke Bar,like
Yes,1.0,28,30.0,15.0,Indian,medium,Yes,The food tasted awesome and there was a big portion,House of Dosas,like
No,3.0,23,30.0,50.0,Chinese,medium,Yes,,HaiDiLao,like
No,2.0,24,40.0,20.0,Italian,medium,Yes,,,like
Yes,3.0,28,40.0,20.0,Thai,medium,Yes,,Syphay,like
Yes,3.0,21,20.0,20.0,Mexican,high,Yes,"Server was very warm and friendly, food felt very authentic",La Taqueria,like
Yes,5.0,22,20.0,20.0,Mexican,high,Yes,,Antojitos Cantina,like
No,0.5,21,20.0,50.0,Other,medium,Yes,,,like
Yes,0.0,20,30.0,30.0,Italian,medium,Yes,"food tasted amazing, location was good, timing was great",Piva,like
Yes,6.0,20,40.0,50.0,Other,medium,Yes,Quality of the food,Miku,like
Yes,1.0,19,20.0,15.0,Chinese,low,Yes,,Mr Red's Cafe,like
No,15.0,23,30.0,50.0,Chinese,medium,Yes,The food is just amazing,Northern Style Chinese Restaurant(大东方饺子王),like
No,7.0,24,30.0,40.0,Other,medium,Yes,"good food, nice vibes",temaki sushi,like
No,3.0,21,20.0,80.0,fusion,low,Yes,Taste good,Lynn Cafe,like
No,2.0,21,40.0,40.0,Chinese,medium,Yes,,raisu,like
Yes,2.0,22,20.0,20.0,Chinese,no music,Yes,A friend recommended the restaurant ,Longs Noodle House,like
Yes,2.0,21,20.0,20.0,Other,low,Yes,The food was super good. The line was sort of long to enter though.,Ramen Dambo,like
Yes,10.0,23,30.0,80.0,Other,low,Yes,Fresh sushi and sashimi. Saigo!!!! ,Octopus Garden,like
No,2.0,22,30.0,70.0,Other,medium,Yes,Delicious food,zakkushi,like
Yes,1.0,20,25.0,80.0,Other,low,Yes,the view,Miku,like
No,2.0,20,20.0,45.0,Other,medium,Yes,The food tasted very good,Afghan Horsemen,like
Yes,1.0,21,25.0,20.0,Chinese,low,Yes,,,like
No,10.0,22,5.0,5.0,Mexican,low,Yes,cheap and delicious,Tacomio,like
No,7.0,21,50.0,60.0,Other,medium,Yes,no,Gyu-Kaku Japanese BBQ,like
Yes,1.0,20,20.0,20.0,Mexican,medium,Yes,beautiful decorations,Original's Cafe Mexicano,like
Yes,4.0,24,10.0,15.0,Other,low,Yes,Best ramen in Vancouver.,Danbo Ramen,like
No,1.0,21,15.0,180.0,Other,low,Yes,"Taste, Service, Quality of food",Octopus's Garden Restaurant,like
No,1.0,22,15.0,25.0,Other,medium,Yes,Fresh ingredients.,Sushi Hachi,like
Yes,4.0,23,5.0,20.0,Thai,medium,No,Their food was really good and the portion was big,Legato Cafe,like
Yes,1.0,27,30.0,20.0,Canadian/American,medium,Yes,,The Regal Beagle Bar & Grille,like
Yes,5.0,22,40.0,60.0,Other,medium,Yes,Food was fresh and tasty,Raisu,like
No,3.0,25,10.0,25.0,Other,low,Yes,,,like
Yes,3.0,22,6.0,20.0,Other,low,Yes,"Family owned restaurant, gave us free soup and tea and nice atmosphere with window view",Momo Sushi,like
Yes,1.0,22,80.0,70.0,Indian,high,Yes,,,like
No,3.0,22,25.0,30.0,Chinese,medium,Yes,High-quality food and a nice vibe in the restaurant.,Green Lettuce,like
Yes,1.0,20,60.0,35.0,Canadian/American,medium,Yes,Food was really good. I was with friends.,The Pint Public house,like
Yes,3.0,28,60.0,130.0,Canadian/American,low,Yes,taste of the food,blue water cafe,like
No,2.0,29,30.0,30.0,Other,low,Yes,The food presentation was impeccable,Raisu,like
Yes,1.0,34,50.0,80.0,Other,low,Yes,,Chambar,like
No,1.0,20,10.0,120.0,Chinese,low,Yes,,,like
No,6.0,24,40.0,30.0,Other,low,Yes,Food was good,Minerva's,like
No,3.0,22,30.0,150.0,Other,no music,Yes,Good atmosphere,,like
No,1.0,20,20.0,30.0,Canadian/American,low,Yes,Ambience,Cactus Club,like
Yes,3.0,22,45.0,100.0,Italian,medium,Yes,Server was incredible.,Le Crocodile,like
No,2.0,21,,,,,,,,like
No,1.0,22,,,,,,,,like
No,1.0,25,,,,,,,,like
No,5.0,22,,,,,,,,like
Yes,0.0,21,,,,,,,,like
No,5.0,23,,,,,,,,like
Yes,4.0,25,,,,,,,,like
Yes,1.0,20,,,,,,,,like
No,7.0,24,,,,,,,,like
No,5.0,24,,,,,,,,like
Don't want to share,3.0,20,,,,,,,,like
No,4.0,21,,,,,,,,like
No,0.5,23,,,,,,,,like
No,0.0,22,,,,,,,,like
No,3.0,22,,,,,,,,like
No,0.0,29,,,,,,,,like
Yes,5.0,20,,,,,,,,like
No,1.0,23,,,,,,,,like
No,4.0,29,,,,,,,,like
Yes,3.0,27,,,,,,,,like
No,8.0,21,,,,,,,,like
Yes,1.0,24,,,,,,,,like
Yes,1.0,33,20.0,20.0,Canadian/American,low,Yes,Great food.,,like
Yes,4.0,27,150.0,200.0,Italian,high,Yes,"Not only was the food incredible, but the server was so friendly and charismatic. He provided us stellar food and wine recommendations and great conversation. It also helped that we were already in a good mood as we were celebrating a birthday.",Osterio Savio Volpe,like
Yes,2.0,21,,,,,,,,like
No,8.0,27,,,,,,,,like
No,1.0,40,3.0,120.0,Chinese,medium,Yes,Every course step was having some surprising points.,I cannot remember it.,like
No,1.0,27,30.0,30.0,Other,medium,Yes,"Food quality, portion size is descent ",La buche,like
No,1.0,43,30.0,30.0,Other,medium,Yes,,,like
No,1.0,36,6.0,16.0,Thai,medium,Yes,"Portion size was good and flavorful. Also, I was very hungry!",Thai Basil,like
Yes,1.0,26,4.0,12.0,Other,no music,No,Food quality and taste,Gold Train Express,like
No,1.0,31,7.0,35.0,Canadian/American,medium,Yes,food was great,don't remember,like
Yes,0.0,23,30.0,15.0,Other,medium,Yes,Good food and close to campus ,,like
No,7.0,28,7.0,23.0,Other,low,Yes,Good company,Tonkotsu,like
No,1.0,38,6.0,30.0,Other,medium,Yes,"Quality of food, taste good",MOMO SUSHI BIDWELL,like
No,2.0,26,6.0,14.0,Indian,no music,Yes,Taste,Tandoori Fusion,like
No,1.0,40,3.0,25.0,Canadian/American,medium,No,,,like
Yes,3.0,25,,,,,,,,like
No,1.0,41,,,,,,,,like
No,1.0,36,,,,,,,,like
No,1.0,21,,,,,,,,like
Yes,1.0,22,,,,,,,,like
No,3.0,26,,,,,,,,like
Yes,5.0,22,,,,,,,,like
No,1.0,25,,,,,,,,like
Yes,1.0,23,,,,,,,,like
No,3.0,32,,,,,,,,like
No,1.0,24,,,,,,,,like
Yes,1.0,24,,,,,,,,like
No,0.0,23,,,,,,,,like
Yes,4.0,28,,,,,,,,like
Yes,1.0,25,,,,,,,,like
No,1.0,24,,,,,,,,like
No,1.0,23,,,,,,,,like
No,6.0,21,20.0,15.0,Other,medium,Yes,"The food is just very good
The servers are friendly and give good recommendations based on my needs
The price is somewhat reasonable
The atmosphere reminds me of my home country
The food is served fast and not in a box",Pho Goddess,like
No,1.0,25,,,,,,,,like
Yes,2.0,20,20.0,15.0,Chinese,low,Yes,,,like
Yes,3.0,22,150.0,90.0,Other,medium,Yes,"Location, View, Presentation, Atmosphere",Miku,like
Don't want to share,3.0,22,60.0,60.0,Chinese,no music,Yes,,,like
No,2.0,25,,,,,,,,like
No,0.0,22,,,,,,,,like
Yes,1.0,26,50.0,20.0,Canadian/American,low,Yes,,,like
Yes,2.0,24,15.0,20.0,Indian,low,Yes,Desire,Chakra,like
Yes,1.0,27,2.0,25.0,Thai,no music,Yes,Good food,Unchai,like
Yes,2.0,19,50.0,150.0,Italian,low,Yes,great food,savio volpe,like
No,3.0,22,30.0,40.0,Other,medium,Yes,,,like
Yes,1.0,20,40.0,60.0,Chinese,low,Yes,"the server was incredible, the food was delicious, and it was a great experience with friends too!",Happy Lamb Hot Pot (Broadway),like
No,5.0,21,40.0,50.0,Chinese,medium,Yes,No,Haidilao,like
No,1.0,28,2.0,30.0,Thai,low,Yes,Food was just really delicious.,Barn Nork Aharn Thai,like
Yes,2.0,21,15.0,22.0,Italian,medium,Yes,"Clean restaurant, fast service.",,like
No,3.0,22,50.0,80.0,Chinese,medium,Yes,Service,Haidilao,like
No,14.0,21,30.0,18.0,Canadian/American,low,No,no,no,like
No,2.0,23,30.0,180.0,Other,low,Yes,"Signature dishes, good service",L'abattoir,like
Yes,0.5,22,20.0,20.0,Canadian/American,low,Yes,,,like
Yes,5.0,21,15.0,25.0,Other,medium,Yes,Was yummy,,like
No,3.0,23,25.0,35.0,Other,low,Yes,Good food and vibe,Chambar,like
Yes,4.0,22,2.0,25.0,Chinese,medium,Yes,,Big Way Hot Pot,like
Yes,1.0,26,2.0,15.0,Mexican,medium,,,,like
No,10.0,25,5.0,18.0,Other,low,Yes,I quite like  japanese food,one more sushi,like
Yes,0.0,21,8.0,18.0,Other,low,Yes,I only visit one restaurant because of my food allergies. This is because cross-contamination is a concern.,,like
Don't want to share,0.0,20,,,,,,,,like
Yes,3.0,33,,,,,,,,like
Yes,3.0,21,,,,,,,,like
Yes,0.0,29,,,,,,,,like
No,4.0,22,,,,,,,,like
Yes,1.0,21,,,,,,,,like
No,3.0,22,,,,,,,,like
Yes,3.0,27,,,,,,,,like
Yes,2.0,27,,,,,,,,like
No,3.0,33,,,,,,,,like
No,2.0,21,,,,,,,,like
No,3.0,23,,,,,,,,like
Yes,3.0,22,,,,,,,,like
Yes,2.0,22,,,,,,,,like
Yes,2.0,20,,,,,,,,like
Yes,5.0,20,,,,,,,,like
Yes,4.0,22,,,,,,,,like
Yes,1.0,20,,,,,,,,like
Yes,6.0,20,,,,,,,,like
Don't want to share,1.0,30,,,,,,,,like
Yes,14.0,22,,,,,,,,like
No,3.0,25,,,,,,,,like
No,10.0,29,10.0,20.0,Chinese,medium,Yes,,刘姥姥砂锅麻辣烫,like
Yes,1.0,21,45.0,20.0,Thai,low,Yes,Friends with me,,like
No,2.0,25,2.0,60.0,Other,no music,Yes,"Extremely nice service.

Sidenote: How do you not have Japanese as an option for type of food (Sushi...)",Taku Japanese Kitchen,like
No,3.0,24,50.0,80.0,Canadian/American,no music,Yes,"food tasted amazing, never had food that tasted so good before.",Annalena,like
No,1.0,25,5.0,20.0,Other,low,Yes,food was great,,like
No,2.0,21,10.0,25.0,Indian,low,Yes,,Delhi 6,like
Yes,2.0,24,5.0,10.0,Indian,low,Yes,Amazing food and service,Essence of India,like
Yes,3.0,22,30.0,30.0,Mexican,medium,Yes,Live music,Guacamole Mexican Grill,like
Yes,0.0,23,8.0,22.0,Other,low,Yes,I am celiac and the food was all gluten free so I could eat everything there.,Iki Japanese Bistro,like
Yes,2.0,22,40.0,30.0,Other,high,Yes,Wasn't as hot and humid,,like
Yes,4.0,20,100.0,40.0,Chinese,high,Yes,Server was very good,Haidilao,like
No,4.0,22,20.0,15.0,Chinese,medium,Yes,I was really hungry at the time,HK BBQ Master,like
Yes,1.0,24,2.0,30.0,Other,medium,Yes,With close friend,,like
Yes,1.0,21,1.0,5.0,Other,low,Yes,no clue,no idea,like
Yes,2.0,30,5.0,15.0,Other,no music,Yes,I was very hungry,,like
Yes,5.0,20,20.0,30.0,Mexican,medium,Yes,tasty food,Lucky Taco,like
No,1.0,22,32.0,19.0,Other,low,Yes,,Midam,like
Yes,0.0,22,20.0,25.0,Other,medium,Yes,"Delicious food, beautiful interior, affordable price, and good service",Kingyo Izakaya,like
Yes,2.0,26,45.0,35.0,Chinese,medium,Yes,"Fresh food, great taste, great service, great value for money",Hotpot on Broadway,like
Yes,3.0,26,50.0,30.0,Canadian/American,medium,Yes,It was the first time I ate really good steak.,The Keg,like
Yes,0.0,21,15.0,15.0,Indian,low,Yes,uwu,Dhosa Factory or something,like
No,1.0,22,10.0,15.0,Chinese,medium,Yes,no,no,like
Yes,3.0,20,80.0,60.0,Chinese,high,Yes,,Sea Fortune Restaurant,like
Yes,2.0,32,30.0,30.0,fusion,medium,Yes,,,like
No,1.0,27,20.0,60.0,Other,low,Yes,,,like
No,5.0,21,50.0,35.0,Canadian/American,high,Yes,5,Joeys Shipyards,like
Yes,2.0,25,30.0,50.0,Other,low,Yes,"Ambience, service, hygiene.",,like
No,9.0,19,32.0,50.0,Chinese,low,Yes,The food taste good,no,like
Yes,2.0,23,60.0,60.0,Other,medium,Yes,"Ate with friends, the server was friendly and told some good stories",,like
No,2.0,21,30.0,25.0,Other,medium,Yes,Large portions,Saku,like
Yes,0.0,21,30.0,40.0,Chinese,high,Yes,,,like
Yes,2.0,22,12.0,120.0,Other,low,Yes,I was in a good mood,La Crocodile,like
No,2.0,22,20.0,60.0,Other,low,Yes,It is a sushi place and I love sushi,Miku,like
Yes,2.0,22,8.0,22.0,Other,medium,Yes,I was hungry,Four Olives,like
Yes,1.0,20,14.0,18.0,Other,low,Yes,broth was flavorful and food was plenty for its price,Umami Ramen,like
No,4.0,21,50.0,32.0,Other,low,Yes,"Unique way of eating, we had to grill out beef on a stone",Kingyo,like
No,0.3,30,20.0,25.0,Chinese,low,Yes,Food is good,,like
Yes,1.0,21,40.0,110.0,Other,low,Yes,,Elisa,like
No,5.0,21,40.0,120.0,Chinese,medium,Yes,"palatable, service good.",South Silk Road Restuarant,like
No,14.0,22,7.0,13.0,Other,low,Yes,Filling meal for a very affordable price with good service,,like
No,2.0,21,20.0,40.0,Other,low,Yes,Food quality and taste.,Nostos Taverna,like
Yes,3.0,26,2.0,40.0,Other,low,Yes,"Sticking to the Vietnamese theme, this place is delicious and my favourite place.  It may have been influenced by my sister introducing me to it.",Lotus,like
Yes,2.0,21,30.0,30.0,Other,low,Yes,Food was the most authentic South East Asian Cuisine I've ever had in Vancouver,John 3:16,like
Yes,1.0,20,20.0,20.0,Canadian/American,low,Yes,Delicious food,,like
No,2.0,21,30.0,75.0,Thai,medium,Yes,Great Food!,Song (by Kin Kao),like
No,4.0,24,30.0,30.0,Other,medium,No,Great atmosphere and friendly waiters,Trattoria Da Franco,like
No,4.0,20,40.0,25.0,Canadian/American,medium,Yes,I was hungry,Chambar,like
Yes,1.0,21,20.0,120.0,fusion,medium,Yes,The people I was with.,Burdock & Co,like
Yes,3.0,19,80.0,50.0,Other,high,Yes,"Great service, good company, better food",Raisu,like
No,5.0,20,20.0,15.0,Canadian/American,medium,Yes,The food,,like
Yes,8.0,22,40.0,100.0,Canadian/American,medium,Yes,"nice atmosphere, more expensive restaurant but fantastic variety of dishes which all tasted amazing",Nightingale,like
Yes,4.0,22,30.0,30.0,Chinese,medium,Yes,,,like
Yes,1.0,20,10.0,10.0,Other,low,Yes,,Baoguette,like
Yes,2.0,23,80.0,40.0,Other,low,Yes,The food was amazing and was extremely unique!,Chambar Restaurant,like
No,2.0,23,70.0,40.0,Other,medium,Yes,"Fresh food, by the water",,like
No,1.5,21,20.0,23.0,Other,medium,Yes,Good company to enjoy the food with,,like
Yes,1.0,30,60.0,300.0,Chinese,medium,Yes,very good service,Dolar Shop,like
Yes,2.0,25,10.0,20.0,Canadian/American,low,Yes,,,like
Yes,1.0,22,60.0,80.0,Canadian/American,medium,Yes,good atmosphere,botanist,like
Yes,1.0,23,20.0,30.0,Other,medium,Yes,Food was really good,,like
Yes,1.0,20,100.0,20.0,Indian,medium,Yes,"Food came on time, was hot and tasty. The server was quite nice and the ambiance was pleasant. ",Tasty Indian Bistro,like
Yes,0.0,22,6.0,40.0,Other,medium,Yes,food tasted good,sushi mura,like
Yes,4.0,29,50.0,100.0,Canadian/American,low,Yes,Food was divine and service was good,Honey salt,like
No,0.5,27,20.0,20.0,Italian,low,Yes,Price was reasonable. Servers were very nice. Gave me free food because one of the orders came a bit late,Captain Owen Pizza,like
No,1.0,21,15.0,50.0,Other,low,Yes,Good price good portions.,Sura Korean BBQ,like
Yes,2.0,21,60.0,15.0,Chinese,high,Yes,,,like
No,1.0,23,15.0,25.0,Other,medium,Yes,Restaurant offers pricing that is friendly to families or friends or group ordering in general.,Nandos,like
Yes,3.0,21,15.0,16.0,Thai,medium,Yes,,,like
Yes,3.0,23,50.0,300.0,Chinese,medium,Yes,,,like
Yes,4.0,21,30.0,30.0,Canadian/American,low,Yes,The building and the room gave a very comfy feeling. Immediately after sitting down it felt like we were right at home.,,like
No,1.0,20,,,,,,,,like
No,8.0,20,,,,,,,,like
Yes,2.0,23,,,,,,,,like
Yes,2.0,20,,,,,,,,like
Yes,1.0,22,,,,,,,,like
No,2.0,26,,,,,,,,like
Yes,5.0,21,,,,,,,,like
Yes,2.0,19,,,,,,,,like
Yes,3.0,22,,,,,,,,like
Yes,4.0,20,,,,,,,,like
No,1.0,23,,,,,,,,like
No,5.0,20,,,,,,,,like
No,3.0,22,,,,,,,,like
Yes,3.0,21,,,,,,,,like
Yes,3.0,21,,,,,,,,like
Yes,1.0,20,,,,,,,,like
Yes,2.0,23,,,,,,,,like
No,7.0,20,,,,,,,,like
No,0.0,26,,,,,,,,like
Yes,4.0,21,,,,,,,,like
Yes,1.0,22,,,,,,,,like
No,3.0,22,,,,,,,,like
No,3.0,20,,,,,,,,like
No,10.0,20,,,,,,,,like
No,10.0,22,,,,,,,,like
Yes,1.0,20,,,,,,,,like
No,1.0,22,40.0,50.0,Chinese,medium,Yes,The self service sauce table is very clean and the sauces were always filled up. ,Haidilao,like
Yes,3.0,21,,,,,,,,like
Yes,3.0,27,20.0,22.0,Other,medium,Yes,Lots of meat that was very soft and tasty. Hearty and amazing broth. Good noodle thickness and consistency,Uno Beef Noodle,like